date,likesCount,profileName,commentsCount,text,clean_text
2022-09-07T17:12:32.000Z,2,4dca617d86b3fdce80ba7e81fb16e048c9cd9798cdfd6d352303be10b372bb85,,"Neat comparison I have not heard it before.
 I would say that CO2 is like a disco ball so energy and collide with countless molecules as it bounces around in our atmosphere.",neat comparison heard would say co like disco ball energi collid countless molecul bounc around atmospher
2022-09-08T14:51:13.000Z,0,518ab97f2d115ba5b6f03b2fba2ef2b120540c9681288b3c2c2d6abb7187f432,,An excellent way to visualise the invisible! Thanks,excel way visualis invis thank
2022-09-07T17:19:41.000Z,1,d82e8e24eb633fd625b0aef9b3cb625cfb044ceb8483e1700531f795584253ab,3.0,Does the CO2/ghg in the troposphere affect the stratosphere? Being warmer the troposphere must be expanding?,coghg tropospher affect stratospher warmer tropospher must expand
2022-09-08T00:51:30.000Z,4,37a509fa0b5177a2233c7e2d0e2b2d6916695fa9fba3f29836974fb762ded792,,excellent post! I defo feel the difference - one i can drink and the other makes me feel sick.,excel post defo feel differ one drink make feel sick
2022-09-07T19:06:20.000Z,16,e54fbbd42a729af9d04d9a5cc1f9bbfe8081a31c219ecb5a4a60114bdb7b1d5f,26.0,"Yes, and carbon dioxide does not harm the Earth like you people are making it out to be. Fake climate change rhetoric, as usual.",ye carbon dioxid harm earth like peopl make fake climat chang rhetor usual
2022-09-15T17:10:57.000Z,4,191055fb869d185092abf1405f0b2f4abe73bcaa9beb854fa15c6797d2780f26,1.0,Excellent example...very relatable to the Gen Pop. Complex topics...explained in understandable ways. 👍⚡,excel exampleveri relat gen pop complex topicsexplain understand way
2022-09-07T17:31:25.000Z,10,a9117191b443a0494349d21508a3de7df675250b786612c638dc58b9921827a9,,I am so proud of whoever created this content. Please feel very very good about yourself today,proud whoever creat content pleas feel good today
2022-09-07T18:07:53.000Z,1,39c3ec5a079b6b1a62577a1d13d4e8f894c5525575b85d71cdddddc11237d293,21.0,Has the Earth ever had a concentration of over 1000 ppm?,earth ever concentr ppm
2022-09-07T22:45:56.000Z,0,1492464caa9b6757f6e740a6cc8f75a44614645e9f6c64c91496b01a8045c3d5,,"Yes, and not even half a cup later that poor soul is gonna know it too.",ye even half cup later poor soul gonna know
2022-09-07T16:30:55.000Z,4,31fd4cfea1a56eb21ad6a86ce4ed94e6a15e654b3557bfe451f0d70f45e39489,8.0,Historical co2 data would make it an interesting post,histor co data would make interest post
